"Type";"Coverage";"OdName";"AREA";"AreaName";"REG";"RegName";"DEV";"DevName";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"country";"criterion"
"Immigrants";"Both";"Belarus";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"8";"9";"12";"17";"7";"9";"15";"7";"11";"2";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Bulgaria";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"2";"1";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Czech Republic";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1";"0";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Estonia";"908";"Europe";"924";"Northern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"France";"908";"Europe";"926";"Western Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"0";"0";"0";"0";"1";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Georgia";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"222";"194";"111";"172";"118";"112";"123";"140";"38";"44";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Germany";"908";"Europe";"926";"Western Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1";"1";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Greece";"908";"Europe";"925";"Southern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1";"1";"0";"0";"0";"0";"0";"3";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Iran (Islamic Republic of)";"935";"Asia";"5501";"Southern Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"0";"0";"0";"4";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Ireland";"908";"Europe";"924";"Northern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"0";"0";"2";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Israel";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1";"0";"1";"1";"0";"1";"5";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Kazakhstan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"14";"10";"11";"15";"12";"10";"23";"12";"6";"7";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Kyrgyzstan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1";"4";"2";"4";"1";"7";"0";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Latvia";"908";"Europe";"924";"Northern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"1";"0";"1";"0";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Lebanon";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"3";"1";"1";"0";"0";"0";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Lithuania";"908";"Europe";"924";"Northern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1";"0";"0";"0";"0";"0";"1";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Republic of Moldova";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"4";"5";"4";"3";"4";"3";"6";"5";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Russian Federation";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"578";"847";"831";"862";"796";"814";"590";"524";"433";"361";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Slovakia";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"0";"0";"1";"0";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Syrian Arab Republic";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"0";"0";"0";"0";"0";"0";"0";"1";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Tajikistan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"4";"0";"12";"3";"2";"0";"1";"0";"1";"0";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Turkmenistan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"13";"8";"3";"1";"10";"5";"4";"0";"0";"3";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Ukraine";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"101";"94";"49";"86";"60";"55";"41";"31";"21";"17";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"United States of America";"905";"Northern America";"905";"Northern America";"901";"Developed regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"6";"4";"5";"8";"6";"9";"12";"13";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Uzbekistan";"935";"Asia";"5500";"Central Asia";"902";"Developing regions";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"16";"20";"5";"12";"23";"16";"4";"5";"5";"1";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Unknown";"999";"World";"999";"World";"999";"World";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"697";"489";"442";"520";"296";"221";"348";"206";"138";"140";"..";"..";"..";"..";"Armenia";"Residence"
"Immigrants";"Both";"Total";"999";"World";"999";"World";"999";"World";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"..";"1767";"1764";"1715";"1926";"1514";"1497";"1335";"1112";"864";"861";"..";"..";"..";"..";"Armenia";"Residence"
"Emigrants";"Both";"Afghanistan";"935";"Asia";"5501";"Southern Asia";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"0";"10";"10";"10";"10";"30";"70";"80";"120";"70";"80";"120";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Albania";"908";"Europe";"925";"Southern Europe";"901";"Developed regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"20";"10";"10";"10";"20";"30";"60";"50";"40";"40";"30";"40";"30";"30";"30";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Algeria";"903";"Africa";"912";"Northern Africa";"902";"Developing regions";"20";"10";"10";"10";"10";"10";"0";"10";"0";"20";"20";"20";"10";"10";"10";"0";"0";"10";"10";"10";"10";"0";"10";"10";"20";"20";"30";"40";"50";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"American Samoa";"909";"Oceania";"957";"Polynesia";"902";"Developing regions";"10";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Andorra";"908";"Europe";"925";"Southern Europe";"901";"Developed regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Angola";"903";"Africa";"911";"Middle Africa";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"20";"20";"0";"10";"10";"20";"40";"20";"10";"10";"20";"10";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Anguilla";"904";"Latin America and the Caribbean";"915";"Caribbean";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Antigua and Barbuda";"904";"Latin America and the Caribbean";"915";"Caribbean";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Argentina";"904";"Latin America and the Caribbean";"931";"South America";"902";"Developing regions";"280";"260";"190";"260";"270";"250";"200";"180";"270";"260";"240";"280";"380";"350";"260";"250";"210";"250";"300";"300";"290";"280";"320";"300";"380";"360";"370";"360";"460";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Armenia";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"10";"10";"0";"10";"10";"0";"20";"20";"20";"10";"10";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Aruba";"904";"Latin America and the Caribbean";"915";"Caribbean";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Australia";"909";"Oceania";"927";"Australia and New Zealand";"901";"Developed regions";"320";"250";"170";"200";"180";"110";"110";"50";"20";"10";"10";"10";"0";"0";"0";"10";"0";"0";"0";"0";"0";"60";"60";"10";"30";"20";"10";"10";"810";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Austria";"908";"Europe";"926";"Western Europe";"901";"Developed regions";"270";"270";"330";"260";"280";"270";"230";"250";"300";"350";"480";"370";"470";"430";"400";"370";"330";"420";"400";"470";"480";"860";"780";"660";"900";"860";"900";"480";"360";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Azerbaijan";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"10";"10";"10";"10";"10";"30";"20";"10";"20";"20";"10";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Bahamas";"904";"Latin America and the Caribbean";"915";"Caribbean";"902";"Developing regions";"10";"0";"10";"0";"0";"10";"10";"10";"20";"10";"0";"0";"0";"0";"0";"0";"10";"20";"20";"20";"20";"20";"10";"10";"20";"10";"10";"20";"10";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Bahrain";"935";"Asia";"922";"Western Asia";"902";"Developing regions";"60";"90";"80";"90";"100";"40";"90";"80";"110";"130";"110";"100";"160";"190";"200";"100";"70";"90";"160";"240";"240";"250";"280";"350";"340";"360";"340";"270";"150";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Bangladesh";"935";"Asia";"5501";"Southern Asia";"902";"Developing regions";"220";"140";"170";"180";"160";"140";"140";"140";"110";"180";"130";"230";"200";"190";"180";"190";"210";"270";"290";"290";"360";"480";"470";"780";"480";"540";"480";"500";"530";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Barbados";"904";"Latin America and the Caribbean";"915";"Caribbean";"902";"Developing regions";"0";"0";"0";"10";"10";"10";"10";"10";"0";"20";"10";"10";"0";"0";"10";"20";"20";"10";"30";"20";"20";"30";"10";"10";"0";"0";"10";"20";"0";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Belarus";"908";"Europe";"923";"Eastern Europe";"901";"Developed regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"10";"10";"10";"10";"10";"20";"20";"10";"10";"10";"20";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Belgium";"908";"Europe";"926";"Western Europe";"901";"Developed regions";"130";"130";"150";"200";"150";"160";"150";"160";"200";"210";"260";"310";"270";"230";"200";"230";"240";"300";"320";"320";"350";"300";"320";"360";"240";"180";"190";"230";"250";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Belize";"904";"Latin America and the Caribbean";"916";"Central America";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"10";"10";"0";"10";"0";"0";"0";"0";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Benin";"903";"Africa";"914";"Western Africa";"902";"Developing regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"10";"0";"0";"0";"0";"10";"10";"0";"0";"0";"0";"0";"0";"0";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Bermuda";"905";"Northern America";"905";"Northern America";"901";"Developed regions";"10";"10";"10";"10";"10";"0";"20";"20";"10";"10";"30";"10";"10";"20";"10";"30";"20";"10";"20";"30";"30";"30";"40";"30";"30";"10";"30";"40";"10";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Bhutan";"935";"Asia";"5501";"Southern Asia";"902";"Developing regions";"10";"10";"10";"0";"0";"0";"10";"10";"10";"10";"10";"10";"10";"10";"10";"10";"20";"10";"10";"10";"20";"10";"30";"30";"30";"60";"80";"70";"100";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Bolivia (Plurinational State of)";"904";"Latin America and the Caribbean";"931";"South America";"902";"Developing regions";"10";"10";"20";"10";"30";"20";"10";"10";"10";"20";"20";"20";"30";"30";"30";"40";"50";"40";"30";"30";"40";"30";"40";"30";"20";"30";"30";"30";"30";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Bosnia and Herzegovina";"908";"Europe";"925";"Southern Europe";"901";"Developed regions";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"100";"80";"110";"90";"130";"100";"120";"130";"170";"160";"150";"160";"170";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Botswana";"903";"Africa";"913";"Southern Africa";"902";"Developing regions";"10";"20";"30";"30";"20";"20";"60";"50";"70";"40";"70";"50";"50";"70";"60";"90";"100";"70";"90";"190";"150";"160";"210";"220";"140";"200";"230";"140";"110";"..";"..";"..";"..";"..";"Australia";"Residence"
"Emigrants";"Both";"Brazil";"904";"Latin America and the Caribbean";"931";"South America";"902";"Developing regions";"160";"160";"170";"170";"160";"130";"240";"200";"180";"240";"300";"320";"320";"260";"270";"270";"300";"370";"350";"400";"510";"560";"550";"780";"630";"540";"750";"780";"1010";"..";"..";"..";"..";"..";"Australia";"Residence"
